Change Managed Component Library Link : Designator=C30 Old VaultGUID=295E54B7-AA79-4721-8AC2-42FA7FCDAE4B New VaultGUID= Old ItemGUID=880E3A89-D724-4508-9C32-93C4F4C5F070 New ItemGUID= Old RevisionGUID=1B672497-7962-4BE5-A217-04C3171A5815 New RevisionGUID=
Change component parameters: Designator = "C30" ("C30"); Footprint = "CAP_0402"; UniqueID = "\AJYAZSRE" ("\AJYAZSRE")
Change component parameters (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/SEMS/SEMS-S-A0006318249/SEMS-S-A0006320959-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/SEMS/SEMS-S-A0006318249/SEMS-S-A0006320959-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.octopart.com/CL05B104KB54PNC-Samsung-datasheet-8326407.pdf?src-supplier=TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.octopart.com/CL05B104KB54PNC-Samsung-datasheet-8326407.pdf?src-supplier=TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Number"; Value = "C307331"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Samsung"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CL05B104KB54PNC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing"; Value = "1=0.1, 10=0.044, 50=0.025, 100=0.0194, 500=0.0146, 1000=0.01147, 2500=0.01043, 5000=0.00959 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reach SVHC Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock"; Value = "1237875"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "1276-CL05B104KB54PNCCT-ND"; VariantName = "[No Variations]"
